date;time;exp_id;round;tray_id;tray_info;plant_id;position;plant_name;genotype;pid;cam;AREA_PX;AREA_MM;PERIMETER_PX;PERIMETER_MM;COMPACTNESS;ROUNDNESS;ROUNDNESS2;ISOTROPY;ECCENTRICITY;RMS;SOL
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST022;A2;LC_LT_HW_LL;MES7;RGB2;27;948;25,34792809;254,3086579;41,58418655;0,234537358;0,184202665;0,613466686;0,422070602;0,831496623;0,938762777;10,97468354
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST023;A3;LC_LT_HW_LL;Col-0;RGB2;27;428;11,44400129;108,5685425;17,75297216;0,795539033;0,456294903;0,781884617;0;0,681818182;0,916081916;4,320093458
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST024;A4;LC_LT_HW_LL;MES7;RGB2;27;857;22,9147409;231,2792206;37,81844604;0,60909737;0,201334155;0,814084626;0,713332409;0,513976555;0,899741663;12,86464411
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST025;A5;LC_LT_HW_LL;ht1-2;RGB2;27;782;20,90936684;220,0660172;35,98487911;0,360368664;0,202913364;0,642185818;0,481372831;0,736102236;0,890571943;10,12915601
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST026;B1;LC_LT_HW_LL;Col-0;RGB2;27;643;17,19274026;212,3086579;34,71640686;0,657464213;0,17926084;0,794388159;0,452578301;0,609459459;0,886849005;14,03576983
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST027;B2;LC_LT_HW_LL;MES5;RGB2;27;817;21,84520807;238,5512986;39,00756578;0,530864198;0,180413217;0,846209297;0,617580328;0,326732673;0,421198349;14,27662179
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST028;B3;LC_LT_HW_LL;empty;RGB2;27;;;;;;;;;;;
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST029;B4;LC_LT_HW_LL;ht1-2;RGB2;27;896;23,95753541;260,0071427;42,5159946;0,378698225;0,166551028;0,764548766;0,626518057;0,583054627;0,835284746;12,07142857
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST030;B5;LC_LT_HW_LL;ht1-5;RGB2;27;992;26,52441421;323,4629868;52,89220311;0,382863759;0,119144048;0,707938859;0,598880728;0,856187291;0,949993828;22,98487903
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST031;C1;LC_LT_HW_LL;MES5;RGB2;27;490;13,10177718;123,4974747;20,19412972;0,765625;0,403728855;0,815702146;0;0,715835141;0,917621959;3,773469388
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST032;C2;LC_LT_HW_LL;ht1-4;RGB2;27;777;20,77567524;155,4386002;25,41709669;0,80268595;0,404122592;0,866550887;0,49923097;0,478709677;0,883189082;5,606177606
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST033;C3;LC_LT_HW_LL;empty;RGB2;27;;;;;;;;;;;
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST034;C4;LC_LT_HW_LL;MES5;RGB2;27;453;12,11245931;119,6396103;19,56329727;0,774358974;0,397702285;0,721027986;0;0,901265823;0,954262951;3,894039735
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST035;C5;LC_LT_HW_LL;ht1-5;RGB2;27;1585;42,38023842;570,9848481;93,36662243;0,103948059;0,061092791;0,766563214;0,583115017;0,69256667;0,738710539;37,87066246
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST036;D1;LC_LT_HW_LL;ht1-4;RGB2;27;407;10,88249655;124,1248917;20,29672404;0,692176871;0,331960575;0,800486843;0,57897771;0,40376569;0,75514839;6,643734644
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST037;D2;LC_LT_HW_LL;ht1-5;RGB2;27;772;20,64198364;189,0954544;30,92061717;0,676599474;0,271309491;0,789541016;0,452823266;0,582668187;0,931549637;8,70984456
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST038;D3;LC_LT_HW_LL;MES7;RGB2;27;463;12,37984252;126,4680374;20,67987187;0,712307692;0,363772024;0,774577499;0;0,901149425;0,946494498;4,570194384
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST039;D4;LC_LT_HW_LL;ht1-4;RGB2;27;668;17,86119828;158,3675324;25,89603148;0,846641318;0,334698701;0,812802321;0,628563283;0,707746479;0,919229928;5,941616766
2018-07-31;16:08:10;84;6;ES02_02_HW_LL;R02_1;ESTST040;D5;LC_LT_HW_LL;Col-0;RGB2;27;669;17,8879366;227,137085;37,14112997;0,228327645;0,162952072;0,756238303;0,511381443;0,592510031;0,909666403;10,79970105
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST041;A1;LC_LT_HW_LL;ht1-4;RGB2;27;914;24,43882519;277,764502;45,4196525;0,591585761;0,148868418;0,83053168;0,755899188;0,425515055;0,853014181;24,28993435
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST042;A2;LC_LT_HW_LL;Col-0;RGB2;27;1035;27,674162;181,3380951;29,65214491;0,78290469;0,395523339;0,79243508;0,382486131;0,727743271;0,921157428;4,46763285
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST043;A3;LC_LT_HW_LL;ht1-4;RGB2;27;656;17,54033843;178,2670273;29,14996831;0,1663286;0,259401007;0,302394921;0;2,541520468;0,99655106;4,445121951
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST044;A4;LC_LT_HW_LL;ht1-5;RGB2;27;382;10,21403854;100,0832611;16,36547114;0,747553816;0,479236989;0,874320854;0;0,398081535;0,859728506;3,392670157
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST045;A5;LC_LT_HW_LL;Col-0;RGB2;27;1220;32,62075134;281,9066376;46,09696856;0,592520641;0,192911932;0,906422761;0,798019473;0,204202586;0,529074704;18,44262295
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST046;B1;LC_LT_HW_LL;Col-0;RGB2;27;898;24,01101205;186,7523087;30,53746934;0,727125506;0,323559564;0,827927035;0,454909952;0,61637931;0,904130523;5,772828508
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST047;B2;LC_LT_HW_LL;MES7;RGB2;27;1090;29,14476964;363,2619767;59,40007678;0,433571997;0,103799791;0,799026826;0,693948292;0,389022629;0,429066108;22,90275229
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST048;B3;LC_LT_HW_LL;empty;RGB2;27;;;;;;;;;;;
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST049;B4;LC_LT_HW_LL;ht1-2;RGB2;27;959;25,64204962;184,7523087;30,21043221;0,73655914;0,353060168;0,770001791;0,444363366;0,617283951;0,933090665;5,405630865
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST050;B5;LC_LT_HW_LL;ht1-5;RGB2;27;420;11,23009472;119,7401154;19,57973172;0,659340659;0,36811186;0,803530402;0;0,612970711;0,9254792;4,402380952
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST051;C1;LC_LT_HW_LL;MES7;RGB2;27;831;22,21954456;252,6934342;41,32006749;0,468961625;0,163539616;0,76629384;0,539548328;0,619011976;0,901449962;14,03610108
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST052;C2;LC_LT_HW_LL;MES7;RGB2;27;927;24,78642336;181,0954544;29,61246866;0,726489028;0,355201261;0,774236831;0,149735481;0,664550265;0,922341794;7,611650485
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST053;C3;LC_LT_HW_LL;empty;RGB2;27;;;;;;;;;;;
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST054;C4;LC_LT_HW_LL;MES5;RGB2;27;836;22,35323617;182,7523087;29,88339508;0,69205298;0,314550513;0,858365681;0,517503323;0,551540914;0,920728571;7,465311005
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST055;C5;LC_LT_HW_LL;ht1-4;RGB2;27;1256;33,58333089;456,4163056;74,63253888;0,227248055;0,075766496;0,580695309;0,314443425;1,106431417;0,977606007;31,2133758
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST056;D1;LC_LT_HW_LL;MES5;RGB2;27;467;12,4867958;128,7106781;21,04658526;0,711890244;0,354239991;0,761258945;0;0,888382688;0,95052543;3,959314775
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST057;D2;LC_LT_HW_LL;ht1-2;RGB2;27;954;25,50835802;292,8355698;47,88405186;0,32885212;0,139801098;0,642985335;0,54541932;0,924141466;0,943668065;16,11740042
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST058;D3;LC_LT_HW_LL;ht1-2;RGB2;27;808;21,60456318;165,3380951;27,03584789;0,670539419;0,37142862;0,852144363;0,46048767;0,518907563;0,92552003;5,069306931
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST059;D4;LC_LT_HW_LL;ht1-5;RGB2;27;394;10,53489838;97,98275606;16,02199957;0,810699588;0,515711462;0,822035457;0;0,625352113;0,907191964;2,763959391
2018-07-31;16:12:03;84;6;ES02_03_HW_LL;R02_1;ESTST060;D5;LC_LT_HW_LL;MES5;RGB2;27;647;17,29969354;154,2670273;25,22552278;0,724524076;0,341639378;0,797058992;0;0,745655608;0,928307059;6,732612056
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST061;A1;LC_LT_HW_LL;ht1-4;RGB2;27;641;17,13926362;150,6101731;24,62755922;0,72923777;0,355107037;0,894339485;0,706088896;0,292553191;0,757083179;7,213728549
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST062;A2;LC_LT_HW_LL;MES5;RGB2;27;879;23,50298396;181,5807358;29,69182117;0,689411765;0,335011099;0,810994103;0,446802126;0,627348643;0,92110325;7,464163823
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST063;A3;LC_LT_HW_LL;ht1-5;RGB2;27;189;5,053542626;59,69848481;9,761810509;0,879069767;0,666415441;0,874481601;0;0,785234899;0,907258701;0,761904762
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST064;A4;LC_LT_HW_LL;ht1-5;RGB2;27;317;8,476047685;81,01219331;13,24699752;0,929618768;0,606971564;0,743296991;0;1,046948357;0,937166;1,391167192
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST065;A5;LC_LT_HW_LL;ht1-2;RGB2;27;838;22,40671281;201,2375901;32,90608175;0,631975867;0,260037311;0,728841277;0,457565648;0,633732535;0,892312753;9,881861575
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST066;B1;LC_LT_HW_LL;ht1-2;RGB2;27;691;18,47617965;162,9533188;26,64589269;0,752723312;0,327010345;0,727111834;0;0,811728395;0,927136207;8,140376266
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST067;B2;LC_LT_HW_LL;MES5;RGB2;27;800;21,39065662;161,8233765;26,46112615;0,73664825;0,383899312;0,866653469;0,527011861;0,461275626;0,891583945;6,66125
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST068;B3;LC_LT_HW_LL;empty;RGB2;27;;;;;;;;;;;
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST069;B4;LC_LT_HW_LL;MES7;RGB2;27;1185;31,68491012;346,3330445;56,6318821;0,17586821;0,124148179;0,417523185;0,376724849;1,960284529;0,991758088;16,07088608
2018-07-31;16:15:55;84;6;ES02_04_HW_LL;R02_1;ESTST070;B5;LC_LT_HW_LL;Col-0;RGB2;27;1098;29,35867621;294,391919;48,13854385;0,319186047;0,159206368;0,666322031;0,416846707;0,959687906;0,965301361;19,94899818
