date;time;exp_id;round;tray_id;tray_info;plant_id;position;plant_name;genotype;pid;cam;Temp-avg;Temp-stddev;Temp-median;Temp-min;Temp-max
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST030;B5;LC_LT_HW_LL;ht1-5;IR1;109;21,67343712;0,052675042;21,68487549;21,56045532;21,76086426
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST031;C1;LC_LT_HW_LL;MES5;IR1;109;21,66683578;0,040695623;21,66415405;21,58120728;21,72631836
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST032;C2;LC_LT_HW_LL;ht1-4;IR1;109;21,72196579;0,063468419;21,74014282;21,45663452;21,80227661
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST033;C3;LC_LT_HW_LL;empty;IR1;109;;;;;
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST034;C4;LC_LT_HW_LL;MES5;IR1;109;21,88311386;0,05018799;21,88504028;21,78845215;22,02285767
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST035;C5;LC_LT_HW_LL;ht1-5;IR1;109;21,82640648;0,046547502;21,81262207;21,75393677;21,94018555
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST036;D1;LC_LT_HW_LL;ht1-4;IR1;109;21,73805618;0,052143551;21,74359131;21,64343262;21,80917358
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST037;D2;LC_LT_HW_LL;ht1-5;IR1;109;21,71668816;0,049489573;21,74014282;21,61578369;21,78155518
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST038;D3;LC_LT_HW_LL;MES7;IR1;109;21,83634949;0,039555721;21,84710693;21,76776123;21,88504028
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST039;D4;LC_LT_HW_LL;ht1-4;IR1;109;21,78402901;0,056648817;21,79191589;21,67797852;21,88504028
2018-07-31;16:08:34;84;6;ES02_02_HW_LL;R02_1;ESTST040;D5;LC_LT_HW_LL;Col-0;IR1;109;21,8303566;0,024239736;21,83331299;21,79537964;21,87124634
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST041;A1;LC_LT_HW_LL;ht1-4;IR1;109;21,47918701;0,048021901;21,4704895;21,34579468;21,56735229
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST042;A2;LC_LT_HW_LL;Col-0;IR1;109;21,71100044;0,050463952;21,72631836;21,62268066;21,85055542
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST043;A3;LC_LT_HW_LL;ht1-4;IR1;109;21,79892159;0,078209005;21,82296753;21,58810425;21,91952515
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST044;A4;LC_LT_HW_LL;ht1-5;IR1;109;21,86245918;0,05144725;21,85745239;21,7746582;21,96087646
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST045;A5;LC_LT_HW_LL;Col-0;IR1;109;21,82381248;0,058823168;21,81607056;21,69180298;21,94018555
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST046;B1;LC_LT_HW_LL;Col-0;IR1;109;21,45504379;0,033926181;21,46356201;21,35272217;21,56735229
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST047;B2;LC_LT_HW_LL;MES7;IR1;109;21,72903633;0,02664046;21,7297821;21,67797852;21,7746582
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST048;B3;LC_LT_HW_LL;empty;IR1;109;;;;;
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST049;B4;LC_LT_HW_LL;ht1-2;IR1;109;21,71604347;0,044943709;21,7159729;21,62268066;21,8298645
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST050;B5;LC_LT_HW_LL;ht1-5;IR1;109;21,75818062;0,057230283;21,77810669;21,67105103;21,84365845
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST051;C1;LC_LT_HW_LL;MES7;IR1;109;21,54763985;0,03603109;21,54660034;21,49124146;21,62960815
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST052;C2;LC_LT_HW_LL;MES7;IR1;109;21,71941566;0,031524051;21,71942139;21,65725708;21,80917358
2018-07-31;16:12:27;84;6;ES02_03_HW_LL;R02_1;ESTST053;C3;LC_LT_HW_LL;empty;IR1;109;;;;;
