date;time;exp_id;round;tray_id;tray_info;plant_id;position;plant_name;genotype;pid;weight;waw
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST022;A2;LC_LT_HW_LL;MES7;SC1;128;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST023;A3;LC_LT_HW_LL;Col-0;SC1;117;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST024;A4;LC_LT_HW_LL;MES7;SC1;128;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST025;A5;LC_LT_HW_LL;ht1-2;SC1;122;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST026;B1;LC_LT_HW_LL;Col-0;SC1;119;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST027;B2;LC_LT_HW_LL;MES5;SC1;121;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST028;B3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST029;B4;LC_LT_HW_LL;ht1-2;SC1;119;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST030;B5;LC_LT_HW_LL;ht1-5;SC1;125;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST031;C1;LC_LT_HW_LL;MES5;SC1;122;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST032;C2;LC_LT_HW_LL;ht1-4;SC1;124;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST033;C3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST034;C4;LC_LT_HW_LL;MES5;SC1;117;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST035;C5;LC_LT_HW_LL;ht1-5;SC1;124;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST036;D1;LC_LT_HW_LL;ht1-4;SC1;122;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST037;D2;LC_LT_HW_LL;ht1-5;SC1;125;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST038;D3;LC_LT_HW_LL;MES7;SC1;125;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST039;D4;LC_LT_HW_LL;ht1-4;SC1;127;
2018-07-31;16:35:56;84;6;ES02_02_HW_LL;R02_1;ESTST040;D5;LC_LT_HW_LL;Col-0;SC1;117;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST041;A1;LC_LT_HW_LL;ht1-4;SC1;129;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST042;A2;LC_LT_HW_LL;Col-0;SC1;118;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST043;A3;LC_LT_HW_LL;ht1-4;SC1;124;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST044;A4;LC_LT_HW_LL;ht1-5;SC1;119;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST045;A5;LC_LT_HW_LL;Col-0;SC1;122;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST046;B1;LC_LT_HW_LL;Col-0;SC1;120;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST047;B2;LC_LT_HW_LL;MES7;SC1;117;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST048;B3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST049;B4;LC_LT_HW_LL;ht1-2;SC1;125;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST050;B5;LC_LT_HW_LL;ht1-5;SC1;131;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST051;C1;LC_LT_HW_LL;MES7;SC1;122;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST052;C2;LC_LT_HW_LL;MES7;SC1;123;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST053;C3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST054;C4;LC_LT_HW_LL;MES5;SC1;119;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST055;C5;LC_LT_HW_LL;ht1-4;SC1;129;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST056;D1;LC_LT_HW_LL;MES5;SC1;124;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST057;D2;LC_LT_HW_LL;ht1-2;SC1;121;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST058;D3;LC_LT_HW_LL;ht1-2;SC1;126;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST059;D4;LC_LT_HW_LL;ht1-5;SC1;123;
2018-07-31;16:39:49;84;6;ES02_03_HW_LL;R02_1;ESTST060;D5;LC_LT_HW_LL;MES5;SC1;123;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST061;A1;LC_LT_HW_LL;ht1-4;SC1;121;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST062;A2;LC_LT_HW_LL;MES5;SC1;118;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST063;A3;LC_LT_HW_LL;ht1-5;SC1;119;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST064;A4;LC_LT_HW_LL;ht1-5;SC1;123;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST065;A5;LC_LT_HW_LL;ht1-2;SC1;129;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST066;B1;LC_LT_HW_LL;ht1-2;SC1;121;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST067;B2;LC_LT_HW_LL;MES5;SC1;122;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST068;B3;LC_LT_HW_LL;empty;SC1;12;
